year,annual_gw,kind,source
2000,0.3,actual,IRENA Renewable Capacity Statistics / BNEF / IEA-PVPS
2002,0.4,actual,IRENA Renewable Capacity Statistics / BNEF / IEA-PVPS
2004,1.1,actual,IRENA Renewable Capacity Statistics / BNEF / IEA-PVPS
2006,1.6,actual,IRENA Renewable Capacity Statistics / BNEF / IEA-PVPS
2008,6.7,actual,IRENA Renewable Capacity Statistics / BNEF / IEA-PVPS
2009,7.3,actual,IRENA Renewable Capacity Statistics / BNEF / IEA-PVPS
2010,17,actual,IRENA Renewable Capacity Statistics / BNEF / IEA-PVPS
2011,30,actual,IRENA Renewable Capacity Statistics / BNEF / IEA-PVPS
2012,31,actual,IRENA Renewable Capacity Statistics / BNEF / IEA-PVPS
2013,38,actual,IRENA Renewable Capacity Statistics / BNEF / IEA-PVPS
2014,40,actual,IRENA Renewable Capacity Statistics / BNEF / IEA-PVPS
2015,51,actual,IRENA Renewable Capacity Statistics / BNEF / IEA-PVPS
2016,77,actual,IRENA Renewable Capacity Statistics / BNEF / IEA-PVPS
2017,98,actual,IRENA Renewable Capacity Statistics / BNEF / IEA-PVPS
2018,103,actual,IRENA Renewable Capacity Statistics / BNEF / IEA-PVPS
2019,118,actual,IRENA Renewable Capacity Statistics / BNEF / IEA-PVPS
2020,145,actual,IRENA Renewable Capacity Statistics / BNEF / IEA-PVPS
2021,175,actual,IRENA Renewable Capacity Statistics / BNEF / IEA-PVPS
2022,240,actual,IRENA Renewable Capacity Statistics / BNEF / IEA-PVPS
2023,446,actual,IRENA Renewable Capacity Statistics / BNEF / IEA-PVPS
2024,600,actual,IRENA Renewable Capacity Statistics / BNEF / IEA-PVPS
